id,number,name,surname,patronymic,date_of_birth,nationality,authority,date_of_issue,date_of_expiry,tin,place_of_birth
1,003474267,Solomiia,Romanenko,Ostapivna,2001-12-22,ukrainian,1169,2023-02-14,2026-12-06,4022622827,Kherson
2,004022094,Yevhen,Oliinyk,Yuriyovych,2006-03-02,ukrainian,1265,2022-11-14,2027-03-19,3719969168,Chernivtsi
3,005292141,Serhii,Marchenko,Ostapovych,2005-12-11,ukrainian,1354,2023-03-13,2025-03-15,4146450932,Berdiansk
4,003996610,Tania,Rudenko,Olehivna,2006-10-11,ukrainian,1439,2023-01-14,2027-06-15,3162779161,Simferopol
5,006356721,Dmytro,Moroz,Bohdanovych,2001-05-27,ukrainian,1087,2023-07-21,2025-08-10,3856400393,Zhytomyr
6,003079019,Anastasiia,Tkachuk,Vadymivna,2005-02-04,ukrainian,61,2023-04-20,2026-07-26,3568283238,Berdyansk
7,006926727,Viktor,Mazur,Ivanovych,1998-02-21,ukrainian,718,2021-03-13,2026-02-21,3341681558,Zaporizhzhia
8,003565131,Yulia,Kovalchuk,Pavlivna,2001-09-13,ukrainian,1317,2022-08-18,2025-10-23,4060388689,Lviv
9,006889037,Ludmyla,Kozak,Ostapivna,2003-09-20,ukrainian,1477,2021-03-15,2026-04-10,4905745353,Sevastopol
10,004953616,Vira,Babenko,Vadymivna,2004-01-10,ukrainian,1762,2021-05-23,2025-08-17,3428244891,Kyiv
11,006086863,Svitlana,Holub,Mykolaivna,2006-10-20,ukrainian,1651,2021-04-17,2026-10-24,4256843209,Lisichansk
12,005901069,Andriana,Dmytruk,Volodymyrivna,2001-08-02,ukrainian,1951,2022-10-12,2025-11-04,4306852501,Kryvyi Rih
13,006709873,Zinovii,Kozak,Ivanovych,1999-04-23,ukrainian,860,2022-04-17,2025-08-16,3831653144,Kherson
14,006606163,Yurii,Mazur,Dmytrovych,2004-03-03,ukrainian,808,2021-07-14,2026-07-23,4633880294,Odesa
15,005649697,Roman,Klymenko,Petrovych,1998-05-09,ukrainian,574,2021-01-14,2026-08-13,3647853481,Lisichansk
16,006651449,Ludmyla,Oliinyk,Volodymyrivna,2005-04-12,ukrainian,1767,2021-07-19,2027-04-19,4653198342,Bila Tserkva
17,004874487,Petro,Yermolenko,Andriyovych,2007-01-09,ukrainian,898,2021-08-15,2025-10-31,3955956507,Lisichansk
18,005944350,Solomiia,Klymenko,Vadymivna,2003-10-08,ukrainian,1189,2023-06-27,2027-05-02,4969666844,Berdiansk
19,005774508,Ruslan,Melnichenko,Andriyovych,2002-12-30,ukrainian,955,2023-01-28,2027-06-28,4721986791,Kamenskoe
20,006568444,Bohdan,Klymenko,Viktorovych,2007-01-06,ukrainian,794,2021-01-13,2025-02-27,3863418447,Zhytomyr
21,006745891,Valentyna,Tkachenko,Bohdanivna,2000-01-15,ukrainian,887,2021-02-22,2026-06-15,3357074202,Melitopol
22,004771872,Olena,Marchenko,Oksanivna,2001-07-20,ukrainian,739,2022-11-08,2025-05-03,3898429565,Kramatorsk
23,006034836,Mykola,Kovalenko,Oksanivna,2007-12-14,ukrainian,310,2023-08-25,2027-06-22,4442922025,Melitopol
24,006639894,Mariia,Pavlenko,Serhiyivna,2001-12-07,ukrainian,1667,2023-12-10,2027-07-14,4867576460,Kolomyia
25,004467932,Taras,Yermak,Andriyovych,2005-08-25,ukrainian,1494,2021-03-18,2026-12-12,4340899230,Zaporizhzhia
26,006533998,Hryhoriy,Melnichenko,Mykolaiovych,2000-08-18,ukrainian,937,2022-02-19,2025-10-19,4015379233,Luhansk
27,003677278,Maksym,Yermolenko,Mykolaiovych,2005-08-27,ukrainian,1157,2021-10-22,2025-01-16,4816654063,Khust
28,004771146,Hryhoriy,Yakovenko,Volodymyrovych,2006-01-10,ukrainian,1057,2023-02-05,2025-02-24,3472884226,Uman
29,005387846,Dmytro,Romanenko,Andriyovych,1998-02-02,ukrainian,1190,2023-01-08,2025-06-14,4823971146,Khust
30,005199531,Halyna,Boiko,Ivanivna,2005-10-07,ukrainian,81,2021-10-10,2026-12-15,3477764297,Kamenskoe
31,006470416,Liudmyla,Romanenko,Oksanivna,2005-07-22,ukrainian,506,2021-06-23,2025-04-10,3296597111,Uzhhorod
32,005383373,Yulia,Romanenko,Denysivna,2000-05-07,ukrainian,617,2022-08-06,2027-09-08,3796916788,Zhytomyr
33,006704861,Liliia,Andriychuk,Ivanivna,2007-02-18,ukrainian,880,2022-05-12,2026-01-04,4400492019,Kovel
34,006061457,Larysa,Tkachenko,Yaroslavivna,2005-12-06,ukrainian,685,2023-12-28,2027-01-25,4541385617,Kamianets-Podilskyi
35,006658110,Liudmyla,Shevchuk,Yaroslavivna,1998-12-29,ukrainian,1748,2022-08-22,2027-09-06,3723607172,Berdyansk
36,003825290,Zoriana,Kovalchuk,Yaroslavivna,2004-03-31,ukrainian,183,2023-11-22,2027-02-11,3685976428,Kharkiv
37,004529384,Roman,Rudenko,Mykolaiovych,2000-06-16,ukrainian,306,2021-08-29,2025-01-09,4412813930,Myrnohrad
38,006160010,Nina,Ovcharenko,Ostapivna,2004-06-08,ukrainian,485,2023-09-06,2025-04-10,3043461251,Kharkiv
39,005497812,Olha,Rudenko,Bohdanivna,2006-12-08,ukrainian,370,2021-12-16,2026-04-03,3591744298,Uzhhorod
40,006945482,Tania,Shulga,Bohdanivna,2001-08-04,ukrainian,668,2021-09-09,2026-10-08,3812038835,Stryi
41,003962104,Orest,Yakovenko,Yaroslavovych,2001-03-26,ukrainian,1179,2023-06-03,2026-06-20,4338638125,Berdiansk
42,003402739,Inna,Oliinyk,Mykolaivna,2005-12-26,ukrainian,1333,2021-10-12,2026-03-25,4821083666,Ivano-Frankivsk
43,003128321,Vitalii,Sydorenko,Vadymovych,2005-05-12,ukrainian,1039,2022-05-23,2027-10-25,3318125300,Kolomyia
44,003541230,Andriana,Klymenko,Ostapivna,2007-05-22,ukrainian,1302,2022-10-26,2025-07-20,4785197515,Ternopil
45,005898953,Bohdan,Kucherenko,Anatoliyovych,2001-11-02,ukrainian,568,2023-10-20,2027-03-01,3063311091,Zhytomyr
46,004803296,Ihor,Sydorenko,Mykolaiovych,2001-05-09,ukrainian,757,2023-05-05,2025-05-03,4390364600,Ivano-Frankove
47,005653129,Anastasiia,Sydorenko,Serhiyivna,2001-08-25,ukrainian,1894,2023-01-20,2027-04-13,3606576112,Khmelnytskyi
48,003714084,Iryna,Holub,Volodymyrivna,2007-02-08,ukrainian,97,2021-11-05,2025-05-26,4917998684,Makiivka
49,004198210,Yulia,Rudenko,Oleksandrivna,2003-09-17,ukrainian,420,2021-06-09,2026-07-16,3339413374,Sumy
50,006239040,Yelyzaveta,Tkachuk,Oksanivna,2001-10-02,ukrainian,1377,2023-01-17,2025-04-25,3001839754,Myrnohrad
51,003350500,Halyna,Melnichenko,Oleksandrivna,2007-09-16,ukrainian,920,2021-11-05,2025-03-15,4044817513,Kharkiv
52,005820928,Anastasiia,Kovalenko,Oleksandrivna,1999-01-27,ukrainian,1190,2022-06-28,2026-08-22,4125607666,Chernivtsi
53,003224581,Tania,Tkachenko,Denysivna,2001-11-05,ukrainian,1470,2021-11-05,2026-02-19,4147291912,Myrnohrad
